-03- -2SS
JNFc -0g0
JOCB -03M
JOjv -21W
JQnu -2Df
JRfZ --MN
JRmY --BT
JS0j -2EQ
JS65 --_j
JU6w -0Ku
JUBk -0uP
JV6u -0LN
JVaM --P8
JWND --5Z
JWWW -2pn
JWzQ -1fI
JXuM --NB
JYiI --d_
JYmm -17t
JZ5U --DR
J_Cc -1Uh
Ja1o -1ZL
Ja9P -1P3
JaAT -3mL
Jaw6 --rf
JbDJ -169
JcEt --nB
JclK -1nK
JdpJ -0kw
Jee- --Eo
JgOn -0Z4
JgWo --I4
Jhem -0hA
Ji8f --Ji
Jj4_ --XO
Jjb9 --Jm
Jk6k -06_
JlFl -1fz
JlyE -2Tv
JmAV --Pa
Jm_K -0NW
JnUz --0k
Jnav --kf
JoA6 -1Xj
JoGa --8N
JoTB --p0
JpQ4 -1I2
Jria -2wQ
JtSD --10
JtSt -2NQ
JtXA -3Ck
Ju2K --Tt
JxF- --4P
JyPa --1G
Jytk -031
Jyx0 --3P
K-X2 -0XP
K1KX --bf
K24n -2dt
K2Yk --_h
K3_H --7Z
K3rT --5I
K4Jh --J1
K56e -0CY
K5dQ --2p
K7KH --Lk
K7lR --rp
K9QI -0nQ
KCx5 -1HQ
KD_2 --ix
KEcc -39d
KFDa -0s9
KFM- -129
KFR0 --wT
KGAG --3R
KHz_ --BS
KI8A --fK
KJiJ --fe
KK5_ --z8
KKLJ -14W
KKY2 -20w
KL3N -1Mw
KLKm -0k3
KNmp --gP
KOOS -0f6
KQIR --4k
KQe- --kA
KRF7 --K3
KSCa --8V
KSIl -2S2
KUrX --uN
KWoK -075
KWxa -1aT
KX-E --Jx
KX_T -1pm
KXwD --0O
KYL4 --Pt
KYa0 --0A
K_db -2JN
K_kk --8_
KaCj --1W
KdZZ --M8
KduL -04O
KeAc -1f3
KeOZ --9_
Keqo --e-
Kezo -15Z
Kf3Z -2YR
KfQY -0FO
KhmZ -0x7
KiX- --2E
KiyH --1r
Kl82 -1vK
Kmku --vM
Kn6T --AE
KnXJ -0E-
KnaQ --8T
Konz -0Li
Kop8 --Hg
Kovd -1HW
KpVI --zf
KqdK --wV
Kua_ --2r
Kudi --7j
KvP_ --2F
KyN3 --7X
Kyjz -26u
Kywr -0AQ
L-YU --1K
L07G ---X
L0EY -27g
L0ef --hO
L20S -00i
L2Ka --6X
L2co --K8
L34V -1UB
L3yL --_t
L4A5 -0SJ
L4R5 -2JC
L55N --Lm
L693 -0Op
L842 -1zs
L85o --i8
L9a0 --lb
LB8P --Kz
LBLy --Ve
LDJq -146
LE0N -0Nd
LFRR -116
LGJk --o3
LGNC --d6
LHq0 --Ah
LHrL --4o
LIdm --7_
LIn4 -0rb
LJV5 --Gp
LK__ --aS
LKaE --Se
LLIU -0uu
LLrx --DS
LMw5 -1Kx
LNYS -37K
LPes --_m
LPwx -1KE
LR5D -2kY
LRcn --HJ
LT9l --ON
LTiV --Ei
LUH3 --tP
LUPQ --ZF
LV19 --Aq
LVUo -3Ok
LWgJ --hc
LX8R --Wm
LXJe -1Nc
LXgs -1C_
LXze -28w
LY1g --jb
LYmq -2n3
LZ0b -28A
LZtx --0m
L_Y4 --cy
L_rZ -251
L_yh -3g3
Lacn -0BB
Lb8J --U2
Lcep --ev
Le0a --LJ
Le3y --Gw
Le9f -144
LeOH -0lv
LfD4 -28G
Lg0i --JO
Lg0n -0-6
Lh70 --jn
LhmT -304
LjbE --RQ
Lp-U --63
Lq-P -0kk
Lqdm --ET
LtS2 --iR
Lv-V --yE
Lv6F --ty
LvYx --Vf
LxdJ -3Ds
LzMZ --CZ
LzW6 -12z
M-7_ -2BM
M1Dl --Ce
M1SQ -0pE
M1XF --J3
M1Xg --ub
M2Ie -09V
M3RC --5u
M5jU --LF
M7PH -0ED
M7U5 -0hF
M7nB -2bA
M8Be -0Xt
M8uL -0et
M9sv -1JG
M9tg -2T8
M9uJ -1jE
MAOO --u3
MB-D -1bf
MBH- --S0
MCAG --8q
MCFa --BB
MD1V --OI
MEWF --Cr
MEzH --x7
MF4b -0m9
MFj3 -1EC
MGUh --KO
MH0q -1GA
MI8u -1hR
MIVG --LZ
MMug --d0
MRoK -2ja
MSw- -3gs
MUFx -0Tj
MUcF -1g5
MUty -1wr
MXM8 -3Pl
MXRH --HV
MXTR -0Yd
MXYD --KW
MXvI -0X1
MZKs --b0
MZtP -1ZT
M_DD --0H
M_Eb --09
MaGM -0dm
MaQ4 --3k
Mads -0Qd
Mb38 --su
Mbln -1d7
Mbv2 --A2
Mce_ --uq
MdFM -1ow
MdkC ---_
MeYv -2jA
Mebh --bd
MfGq --ME
MgGg --lm
MgJe --Cl
MgVj --DX
MgxM --Mk
MhWt --5t
Mi1A -2IA
MiAV -3Hy
Miux -0pu
Mix- --5j
Mkb2 -0P-
Ml62 --t8
MlQ4 -0U7
Mllr -0sU
Mmnn --8x
Mn81 --_B
Mpsg -01F
MqEt --ZW
Mr2A -3P3
MsAK -3kn
MsXY --88
Ms_P --oD
Mv4_ --1c
MvQ0 -00t
N-Fv --Fs
N01b --Tf
N0Nn --7z
N1tE -1fx
N3Oa --0l
N4mt --SX
N5Bv -1DT
N5C- --6O
N5M_ -0qW
N5_w --jV
N687 -0NE
N6U7 --DT
N6Up -385
N6cz --9Z
N7iL --7D
N7up -0rf
N8Hi --Ld
N8QZ -2WN
N8pN -0cJ
NAKX -0qe
NAgi -1QN
NAml --tJ
NBhu --qW
NBp3 --4B
NC79 --mq
NCqN --Mv
NEcp -22f
NGiK -04f
NGzZ --Wt
NHOd -2vU
NHe0 --i3
NHgR -1gT
NHrb --d3
NIJS -2-W
NIMM -0FT
NJqT -035
NK77 --6y
NLYJ -0Ym
NNg8 --5v
NOTp --qj
NPUn --gC
NQ4h -1EB
NQFO --bs
NQPi -0X0
NRgy -36e
NRt4 -1Vg
NSHZ --Ku
NTLC -0Yo
NThj -20Q
NUIl --9H
NVXP -1C7
NWQi -0-j
NWgT -2fE
NYwe -3Sa
NZLJ -0GP
NZhU --Qy
N_9B -0TB
Nay6 -1-4
NayD -1dl
NbRU --O0
Nba5 -0gx
NcfF --5q
Ncs8 -1UH
Nd4G -0T8
NeBL --9b
NeZ2 --m4
Nek5 --Vb
NhAK --nK
NhvB -3A7
NiBu --OX
Njmy --NM
Nk7e --nd
NkCB --V1
NlH0 --Bj
NnUL --ld
NnsG --Th
NoHh -0gD
NoMb -0Xo
Nrzw -1KF
NseU -2JF
NtTK --6-
NxNq -03s
Nxwp -0y0
NzHq ---W
Nzq8 -0Pf
O0f2 --J5
O11k -1ai
O18X --Ob
O1YC -1Kk
O2ck -2Ey
O3Fv --AH
O3Ip --Jb
O3cH --FK
O4-t -0yO
O5us -0qF
O6bE --iI
O6q1 --Qh
O7LP -0rl
O7Zn -1Qf
O9Iw -3bI
O9cC -16b
OA6G -0kt
OAHi -16W
OBGu -0o7
OC_Y --dV
ODan -0ZK
ODg6 --66
OF83 -0CR
OFFZ -3ld
OFbR -19K
OHGg -0oG
OJ7i --4N
OJQm -1q7
OJoZ -0MO
OKKW --P_
OMa0 -1UC
OMlk -27G
ONX7 -2Bl
ONm8 -2zZ
OOtP --1Y
OPE7 -0E7
OPrR --H2
ORel -0cO
OS1T --3Q
OSl0 --8a
OVe3 -3HQ
OVgq --Ri
OW_N --Ii
OXGO --Qs
OXIu -0ob
OXMa -3BN
OZAS --w0
O_gF -2a2
O_tz --_F
O_uH --TY
Oa7S --2T
Ob6X --1i
ObMm --xU
Obzf --Xw
Ode5 --if
OeTR -05M
Oejk --03
Ojn- -0B3
Ojzd -14Q
Ok9d --au
OkJI -0U-
OmNs --sY
On0R ---z
OoCN -0np
Opmn --F2
Oq6M --Ao
OqPb -0nK
Oquc -0PN
Os2M --lN
Oube --1F
OvNa -0pP
OvoL -1a1
Ow2X --Pk
OwiY -3Bx
Owxy --Wx
Oxa5 --MF
OzOt --Ya
Ozg7 --H1
OzyG ---s
P-56 -0JI
P0Ew --Rr
P14o -0W1
P1qQ --Cd
P1tW -0Aa
P2OZ -0Af
P3On --iZ
P4bE --B9
P5oO -0TP
P6rg -0QI
P7Ld -0YN
P7ap -0BU
P7bg --yo
P9zo --Ik
PAJ8 -099
PAZf -3Ga
PDNZ -2sP
PDQm --AJ
PDsN -03y
PENV --Kx
PF2x ---y
PF3D ---h
PFsf --CH
PHOc --AG
PHlS -0hS
PJz8 --65
PKF0 -1pS
PKvv --PN
PMEd --E9
PMa- -3jd
PNjM -1QT
PNrq -0DY
POC1 --IR
PP0I -0NB
PQFI -1AP
PQs8 -1gX
PROC --36
PSjH -0V0
PT1O -2Ns
PTGm -2vf
PTIM --HT
PTz8 -2He
PUEC --ko
PUYd --aL
PVCK --bl
PWHE --e9
PXhj --b4
PYq3 -111
Pb8o -03-
PbIq -036
Pc93 -3hF
PcG5 --Rf
PcIo --1A
Pcfk -2CW
PeuY -045
Pf9C -0ji
PfMj -0Gz
PhsZ -2Bw
Pip6 -0O5
Pj57 --n-
PjMh --6_
Pjya --E-
Pl6I --Bz
PlCV --wQ
PlmE --SI
PltY -0jp
Pm7Z --Lb
PnKf -19h
Pnkt -0jc
PoQE --xY
Pol1 --cu
Popo --0p
PpMi --DZ
PqeO --9r
PsLc -00G
PsRT --pA
Pt75 -2tj
Pu1p --YE
Pux5 --U9
Puyq --7I
PuzN -0Ns
PwGZ --z_
PxJe --xk
Pxs6 -1Cs
PyfI -3j2
Pzz5 -24Q
Q-y9 --PS
Q104 --5b
Q15m -08r
Q1AA -1Z1
Q2ZK -1Wk
Q4id -08m
Q4xF --QM
Q6lE -0X8
Q7OF -0oO
Q7_l --wE
Q8Kw --30
Q8te -1oj
Q9O8 -0e5
QABx --46
QAyU -1Y0
QB6F -1La
QB9- -1kO
QBCr -1__
QCOq --h6
QCeZ -0qm
QD4y -29n
QD87 -0gU
QDs_ --Bv
QE26 -0Z7
QF3j -3nG
QF65 -1YB
QFtE -08n
QG3X -1G5
QGPV -0Es
QGhe -1H_
QH4N -0eO
QHrV --Cw
QIBx --zB
QIl3 --W5
QItT -323
QJPL --4X
QKCe -2Yt
QMEx -0zG
QN2F --Dv
QNr- -2Px
QNu4 -1jn
QO36 --EP
QPjq -30A
QQV- --It
QQwh -2dW
QUbw --Ib
QVcA -2Y8
QW5Q -1U3
QWEV --wl
QWFE --_q
QWzB --Qi
QXbO -07u
QXgQ -08M
QYe3 -0Jj
QZE5 -08l
QZIQ --Jg
QZcC -2Nc
QZx6 -1NN
Qc44 --2o
QgRt -1En
QhW8 -0H9
QiOc --4R
Qim5 -13h
Qj7M --PE
QjUW -0FJ
Qkid -33M
QlA4 --6s
QlBF -0Ub
QlgN --jm
QlrR -1fp
Qmyc --Wv
Qmyy -1bW
QnkY -03p
QnoD -0JJ
Qo6Q -12R
QqEQ -1Le
QqQk --Nm
Qr2K -2Br
Qrxi --tI
Qs6u -0kK
QsAv -0vr
Qsft --L2
Qshw --_f
QsrW -0FA
QtoX --c_
QvuH -1Y8
Qx5p --x2
Qy5O -0ct
QyPG -0kz
QyeB -1bT
Qz0B -0nj
QzaT -1KC
R-kZ -2nH
R0RG -3b8
R35I -0F-
R3iS -02k
R4fv --JJ
R501 -3Jv
R69t --o_
R6BK --U5
R7Fq -1QD
R7N6 -0Ha
R7Wf -0ww
R9WX -0UG
RAWL -0GN
RAxT --iu
RDo8 -2Ds
RE_s -0sP
RF3U -19s
RFf4 -0GE
RGy7 -1jc
RHhU --42
RIZw -0hg
RKHc --F9
RL9- --SE
RMJO -38f
RMuo -28J
RND9 -23_
RNM3 --2z
RO5f --37
ROGs -1BY
RP6f --HQ
RRet --9U
RSU3 -1B4
RUO0 --wn
RWMg -0VV
RYlS --O2
RZRi --YB
RZgp --LI
RZlj -0v4
RanY -3n9
RbUH --Ig
Rbws --jp
RcY0 -2aF
RcgZ --FE
Rd3A -3AP
RdeT -0z_
ReGO -164
RfaG -29X
Rfyh -1_l
Rkig --S2
RlmQ --59
Rme7 --iS
Rmks --B5
RpKW -3-S
Rpqp -11l
Rq7J -3N-
RqWn -0Pj
Rqa5 --Xr
Rqv4 --Fr
Rrnw -0P2
Rsj5 --bz
Rso1 --6x
RswB -2Vl
Rx0d -2oa
RzDu --AW
S-2n --mQ
S-sW -3-P
S26O -3Mg
S27u --3-
S3Cn -0Qc
S3MK --bv
S3S8 --7C
S3zi --1Z
S5Mn --80
S5ax -1ZY
S5qV --VC
S6hc --DD
S6jJ --Uj
S6nl -01h
S7rM --Rm
S81z --f8
S896 -1s-
S93b --TW
SAvK --P3
SDvJ -0Ga
SE0k -0VS
SFig --8u
SFm0 -0mD
SGpv -2nv
SHDd --c5
SHUB --DH
SH_m -0zz
SHbQ -0zn
SI3p -030
SI3x --3h
SJ0v --Tq
SK7T --as
SKcl -0QJ
SKhm --Wy
SKr0 --yi
SLkZ -0T-
SMAS --19
SMDi --fO
SMaJ --OR
SMyd --PT
SOHK --8A
SOQM -05x
SPAc --BG
SPdO --Be
SPsr --31
SQte --Mg
STBo -1Y3
SVxW --uo
SWbZ --EO
SWzp -1nL
SYJf -1sS
Sb0c -11x
SbC5 -3i0
SbEO --M9
SbG1 --mi
Sc2U --AK
Sd8a --CG
ShDl --pU
ShW7 --IE
Si0t --2L
SiQY --PG
Sis5 -0Nu
Sitn -35Z
SjIj --cN
SkPd --BY
Sm9M -0R0
SmIi -1gH
SnE0 -2I2
SnuI --rn
So-k -0C2
Spj_ -1VE
SpzT -1Rc
SqcV --wK
SrQ8 -3i5
Sv06 -01O
SvnU --hR
Swka --FG
Sxxh -1jx
SyLc -0uU
SyO1 --q_
Szct -0c1
T-Tp --iQ
T0nr -254
T2rI -1y8
T3CP -1Eg
T3mC -1OY
TA94 --s0
TAWa -0Yw
TAXs --FZ
TBn7 -0W6
TC1O -0I_
TD9y --6e
TDsI -064
TFSy -3Tm
TIJG -05d
TJkP -1RQ
TKSo --Ws
TKTC --Sb
TL6X --NH
TLFH -0vP
TLV0 -0Pt
TLeP -07r
TLfR --_8
TM1M -0zf
TNov -1VA
TOT1 --Z5
TOyz -0e7
TPof -0ge
TPzY --dh
TQG1 --nD
TRej --RK
TT3Y -0DL
TTHl --om
TVh4 --Pd
TWYi -1EF
TX6o -1ZZ
TY39 -0pw
TYnJ --dn
TZdx --dU
T_5W -2e2
TaZX --e8
Tb8x -0HG
TbBJ --N_
Tcf0 -0l6
TcyE --mA
TdMm -15n
TdxZ --Gl
TetN --ag
Tg2R --ul
TgXK -1ax
TkaK --LS
Tlg2 --0Q
Tmwh --pF
Tnr9 --rY
Tpcx -0QA
Tpza -0l8
Tt6r --EU
TuMr -2Ms
Tuch -0fI
Tx6b -1zi
Ty9V -2ny
TyUQ --xd
Tz4J --uP
Tz_v --kS
U-D- -2Iy
U-lP --Od
U-o7 --G9
U0d2 --MJ
U1vH -1AN
U2-F --k5
U23V -00O
U28W --Y2
U2zP --9o
U4GJ --oc
U4wz --Lr
U5Iv --R3
U5qF -0SA
U5sy --uV
U6Yh -0xk
U6jn --CY
U6nl -0TG
U6o- --Yl
U8gT -0Ge
U97U --tb
U9c2 -0gF
U9hG --x9
UAad --Qp
UBzh -3V6
UCHy --nZ
UDYb --n1
UE32 -3Eh
UEr0 -2kj
UEtv -1Cb
UFbO -3gB
UHJO --5U
UHxJ -0K7
UI88 -0uM
UJBP -0bb
UJPx -0m_
UKqO --EW
UL4C -3DR
UMdx --4T
UMyP --br
UN65 -0YJ
UNQm ---N
UNpb --of
UPER -2xZ
UPkF --2k
UQ2s -1Y2
UQF9 --Kk
URTR --gb
URiO --cZ
URmw -19m
USUV --3d
UTdH -1eH
UTtf --WI
UVMK --0t
UWt7 --4w
UXbF -26w
UYKR --Dj
UYWy --5l
UYpq --CN
UZ8k --_d
UZt2 --23
U_Vu --Hl
Ua3g -051
Ua9J --eO
Uapg -06Y
UbKh --Vj
UcV0 --QA
Ucb2 --Ph
UdSG -004
UeOs -3Ch
Uet0 --vE
UfeX --B_
UiH0 --nH
UisE --ZX
Uivm -2WB
Uj-F --ge
Umj3 -2Gy
UnaQ -0DS
Unjt -0LJ
UomJ --JI
Ur9O -0aM
Us2e -12U
UuMk ---m
Uwc1 -3eo
UxdE --_b
Uxi0 -0TO
Uxk- --F8
UxoE --Eb
Uynd --X9
Uzu3 --aE
Uzvo -0H8
V-4Q -0YU
V-bv -1ms
V020 --6G
V0A1 -0y7
V1Yg --_u
V2t8 -1Kz
V4Xh -1v6
V4nj --TS
V6ga -0D4
V7P_ -0Mm
V7ci --WA
V8Fz -0ui
VABr --U8
VB2H -0Wf
VB7M -053
VB9W --Wr
VBgL ---j
VCgm --mE
VCoq -10v
VDgB --0M
VEXF -0p1
VFk0 -1AZ
VKpE -0I1
VMoj -0KL
VOmP -0QM
VOtq ---v
VPve -30w
VQ5d --Er
VRhv -1pg
VRzu --Rn
VS-B -2IX
VTpi -0iu
VURR -0B_
VWAr --Bn
VWCn -2ys
VWEA --s1
VWT1 --1L
VWhE -0Uy
VYH6 --IM
VYKY -16y
V_2h --s9
Va3B --Gi
Vb0e --UG
Vb5H -09L
VbaM --Ap
Vdnp -0Lb
VehI -0iE
Vev4 --_a
Vf4r --0Z
VfHa --J7
VfwH -1rh
Vgg_ -0R8
Vgnk --Du
Vh2o -0zV
Vi7y --Iw
ViY2 --mn
VjE0 -16C
VmbA --7K
VnGY -2OL
VoP0 -0V7
VpH0 --Vw
VrC_ --zN
VuJy -0Pu
VugW --hG
VukI -37a
Vvcg -3Lb
VwOH -37E
Vxkp --Zu
W-6D --f6
W-E1 --pN
W-ai --yH
W0aY -36j
W0gV --4I
W2xi -069
W39j --sD
W47T -3E3
W8uF --Af
WB2c -1OB
WC8O -0ZP
WCVO --p-
WCbv --BI
WDDV -3Fw
WDMs --EX
WDdK --eL
WE7_ -0oq
WFdz -2-4
WG7_ --sE
WG8A -0Jq
WG9m -2ND
WGAu --Ox
WIO4 --dS
WNRu -368
WNxj -0h1
WOyA -04R
WPog --1p
WQEk --mw
WQfJ --Y3
WQtm --M3
WR5q ---E
WSQv ---q
WTa8 --LR
WTg- -03G
WUCP -0hk
WUzI --gL
WVFI --7f
WVrt -0cA
WWu- -1zy
WWwp --Jf
WXa9 -1Qn
WXw7 --Mf
W_Q0 -2WC
Wa9E --9u
WbJG -09l
WbPl --im
WcS8 -0c-
WfD6 --Pp
WiDm -1YT
WiRH -127
Wiyc --YI
Wk2L -01H
WkTo -25C
Wl1Z -1eh
Wlcs --I9
WmKP -0N5
Wm_a --Qa
WnSf --PO
Worf -3_k
WpR3 --Xv
WrQb -2JP
Wv6R -22x
WvIU -1PF
Wwic --0a
Wx6r -0U1
WxfS -0m0
Wy7X --1C
WyTw -0Ny
Wyb4 --7N
Wyr8 --Tg
WzCm -0-K
WzP0 --xQ
X-F0 -1Mq
X-aR -0Ex
X-fw --hE
X0Ob -0Ax
X0Ut -09_
X1D0 --1w
X2De -2yh
X2Yq -2wN
X42h --kR
X5eq --Ay
X5rg --Fl
X5uM -2IR
X8Wj -0Wp
X8cv -2y0
X92t -0Fm
X9Ju -0HQ
XAau -1D2
XApW --Pn
XBSF --q8
XCyw -0He
XDW_ --UN
XD_B -0-D
XFok -1Sb
XGA6 -1xU
XGCD --_i
XGOB --Hs
XGTn -0fu
XHdU --kT
XI8r --Qt
XJzg -1v8
XLM0 --b2
XLwU --QC
XNjd --VG
XO7- -0ne
XOl3 --eK
XP3k -1p7
XPVS -2tT
XPX8 --CR
XQ1Z --yb
XQ9b --32
XQmd --HU
XSje -3MW
XT7k --Qk
XUN2 --dX
XV19 --I_
XWN4 --Ec
XW_r -0yN
XWsy -02_
XXLI --my
XXXQ --Ba
XYKM -0sJ
XZ1- --O3
XbxK --Ul
Xc2x -09e
Xca5 -3g7
XdyE -0BS
XeeZ -1FU
Xext -2XC
Xg6h --5n
XgNj --Eu
XgYK --7t
Xgum -0AU
Xgxg --2m
Xh0c -12b
XhY8 -0X-
Xhhn -0Mi
Xhxm --qw
Xhy- -0Cm
XiBx -2Z5
Xiqn -0uh
XitZ --Nj
XjgN -3rU
Xjjz --sK
Xjqe -173
XkBN --2a
XkNq -2o2
Xktn --Bg
XlDT -0Py
XmZJ --U4
Xnid -0d1
XowY -1tE
XpGT --oe
XpJn -0MN
Xq0I -1Fk
XqKM --ot
Xr-B ---7
XrGv --DW
Xs7H --Yf
XsWI --2f
XtS- -2M5
XtSA --4c
XvrT -1C5
XxwA --jQ
Xy9N --2Q
XytZ -0Y3
XzS6 --Vd
Y-ac --HC
Y2ZP -0Uo
Y34t --lS
Y3Gw --J2
Y69O ---G
Y6ug -2un
Y8-F -261
Y8Xw --WS
YAgh --Y8
YAjc --HN
YBSE --P1
YCLv -2ER
YEQp -0Kq
YFB3 --Nr
YFRH ---a
YGRN -00E
YHge -0da
YIJT -1Zg
YIJ_ --aj
YK7X -0fv
YKFO -13Z
YKY_ --Qu
YLSC --9I
YLl0 -08A
YMNp --Al
YMQZ --nr
YNRo -0Nf
YOaG --CL
YOuF --bx
YQ-0 -1KR
YQSw --r3
YQYW -05j
YQcA -1KL
YR-b -1xr
YRSv --ei
YRb3 --FN
YUaW -0Fc
YWS4 --Uo
YXGX -2Pi
YXrO --T_
YY7a --5Y
YYPY -1Qt
YYy3 -1Zt
YZTj -1Bg
YbGU ---S
YbfE --Y_
YcvO --fv
YdGP --Bx
Yfjg --Di
YgoR --DY
YiHi --OW
Yj4S ---Q
YjDN --h5
YjRM --4Y
Yl0u -0s4
YlqD --a0
YmqZ -0Hg
Ynxk --NS
YoOn -1Bs
YpuO -2eJ
Yq1D --Rl
YtYG -3H3
YtxX --V5
YuKc -2S-
Yvc7 --iV
YvyM -28a
Ywv0 --I8
YyNe -0Kh
Z-0D --BH
Z-G6 --0C
Z-gc -271
Z2Kx -0VD
Z2Xj -0pe
Z2sv --01
Z3IQ --NT
Z7bK -3DW
Z8dc --Ww
Z9SV -2Fc
Z9TI --uR
ZAoR --2h
ZB5N --27
ZBHx --gj
ZBIp --et
ZBPe -36_
ZBQP -1HX
ZBh1 -3F7
ZC7E --jo
ZDIb -2t8
ZE0U -0LH
ZEaG -2Ty
ZEku -1NH
ZFWu --Qv
ZFdD -0Nb
ZFhf -0Rq
ZGYh -0HR
ZHwH --Kt
ZICp --k4
ZItV --3X
ZJW5 --1t
ZLDA --OF
ZMlx --co
ZP-o --6J
ZPLe --6S
ZSg_ --DA
ZUdc -0VU
ZWiu -0Oj
ZXUH --DV
ZXYI -112
ZZCn -2IV
Z_3N --9s
Z_LY -1K5
Zaw1 -1d1
ZcG0 --Hx
ZdYe --KJ
ZdZT --Bw
Ze34 -18v
ZeFl -1If
Zf8O --0R
Zhi7 --4K
Ziw6 --RE
ZjOR --_r
Zkad -2Oa
ZlQt -0ud
Zluc --eQ
ZmHx --FI
Zohe --0h
Zp4f -3Ro
ZpJ9 -0qw
ZrBw --e3
ZsIj --2O
ZsX2 --9m
ZtDK --9v
Zu4X --Kl
Zusn -1FO
Zv-k --fh
Zv6C -1lh
Zw4s --Xe
ZwDy -14_
Zwjl -1XQ
ZxLT --6f
ZyX5 -2No
_0Jc -03j
_160 -0tv
_1Qu -1Ej
_1oH -1mj
_2CO --BU
_7wu -1O2
_8op --Dn
_8sH -1eu
_A2a -3Qx
_APm -2Rc
_AWI ---6
_BOa --_Y
_CVO --Uw
_CnK --_c
_EKZ --v_
_ELP -205
_FZq -0Tb
_FvW -0nE
_Gjw -3AS
_Gmp --Zc
_HrY -0nv
_Hx8 -1Ok
_IIi --5J
_ILk --HE
_JDv -2Hd
_JHn --Ka
_Jpy -2CK
_JrC -1Yv
_Ktc -0Nk
_Op2 --Sl
_Pc- --yl
_PoA -3qz
_R1_ --_k
_S7g -0db
_SKl -2qu
_Uw7 -17a
_VcP --bb
_W9R -0oN
_ZEP --NP
_Zoy --Cf
__5h -00j
__9Q -0wF
_an3 -0YP
_atR --UT
_bw0 -0Lj
_dHp -23D
_f_I --Az
_fxl -1vd
_ih- --JV
_kFH --G7
_kgs -3qC
_l4b -1Mp
_lw1 --8h
_omr ---T
_ovd --y4
_p4j --RL
_qFX --qd
_qsK --0S
_uCE --oq
_ujZ --US
_v7S --C8
_vfN --C9
_wt2 -0_N
_xMU --Wk
_xzb --wU
_yWf -0S6
_zjg -3Qn
a0nT -2AL
a0xZ --HW
a1GN --bE
a1Kj -0_V
a1bw -1yl
a1rj -17w
a2W_ -2GN
a3Fr --0-
a3jA --9j
a50r -0a_
a5Nq --0B
a5Vz --zd
a5sV --5E
a7Gn -0NF
a7nP --jZ
a84l -10e
a8Mm -1dO
a9jj --Fv
a9q5 -0g6
aB2z -2Fu
aCTT -1KH
aDvD --11
aDyO -0e-
aEVN -0Dc
aEgX -3Js
aF8V -2xz
aFZC -0iO
aG3o -3-u
aH-a -0Jo
aHJ9 -0hb
aIpt -2ht
aJvW -0PO
aLVY --Is
aLfx --WT
aMGN -1aN
aMnL --Ql
aMwH -1XJ
aPuc --se
aV3- --Rp
aW-Q -2Bt
a_5- --VZ
aacQ -080
acbi --OD
acfi --YM
adqy -03Q
aecj -2GJ
afZe -0M9
agK5 --tR
agOA --iY
aggX -3Vb
agsl --mk
ahXB -2-A
ahmc --j2
aisS --a4
akBH -0dD
akWX --yv
alkd -0JR
alvg --Js
alz8 ---U
amta --DC
aoQn --JY
arQx -0D1
asHB --4G
atuy --QF
auWP --RP
av2v --PW
avsh --rw
avw- --Fc
ay-R -0l5
azAE --bG
b-3S -0-e
b30O --DN
b3Tf --td
b47s -2vQ
b94b -14A
b9RJ -0BZ
bAGl --S1
bAXg --7h
bB45 -1zv
bBAw -2b1
bBGf -23G
bBq1 -01T
bCAv --P-
bCX4 -2EH
bD6k -0AY
bDRx -0l1
bDo1 -1PM
bDsn -1if
bE84 --R6
bEHX --lk
bEt7 -0yY
bFH6 -2bl
bFpj --CQ
bG_r -0Vb
bGtm -0Bv
bHP3 -2vR
bHvh -3f6
bIC- --mg
bJLW -06d
bKYx -3pR
bKfM -2Pq
bKpo --rt
bLL3 --5S
bLVf --bW
bMhW -1be
bNiL --1S
bPNk -0J-
bPti -19P
bPyi -07J
bQ53 -0V6
bQga ----
bRoZ --c3
bRx9 -0Bx
bSIu --TF
bSJD --3j
bSRD -0w5
bSt0 --EH
bVh0 --Rj
bWuk --Ek
bXJz --pc
bY47 -15u
bYgY -1RV
baln -2H8
bbIR -09E
bbrR --LX
bciH --RD
bcq2 --16
bctU -3Yi
beRf -0ST
befd --0n
bejF -37Q
bfCq --IL
bglW --26
bho8 -1kC
bi1O -1li
biQd --OM
bj9s -0mr
bjUW --UR
bkcm --5h
bke3 -1O7
bl_X --1a
blw2 --jI
bmNt -0A7
bnn8 -0G5
bntJ -0ll
bohZ --Bf
bp5E -1QS
bpPD -1Nq
bpYA -1Ed
bq-E --PF
bq7X --Hi
bqPf --Y4
bqiv -07-
brEk --zP
bred -007
bsRM --38
bsY2 -0_v
bsqT --2-
btmd -0P3
bu-M --ap
buuK --WQ
bv2H -0pi
bvjq --Ov
bx79 -15q
bxen --gE
bz7d --1H
c-NQ --OA
c-Oa --iv
c-za -0yu
c0Ve -17C
c1Lt --FJ
c1eY -1rZ
c37z -0Mj
c3OV --er
c4d- -0-b
c5AN ---p
c6qz --9d
c8HN -0Mx
c8kA --Le
c9Fp -2XA
cBVM -2wt
cCC4 -0P9
cD93 -2D4
cDF5 --21
cDng -0zY
cE0I -3SG
cE8v -1_k
cEjg --iO
cEsA --xg
cFdg -0FD
cHHh -0qL
cHf3 -04Z
cHjh --qH
cKRM -04q
cNmO -2o9
cNms -07w
cO1A --fV
cOeK -0f0
cPOX -2Dp
cPSy -2Xo
cPZW --Yg
cPhe -0Mp
cPjT --tl
cQt2 -0TY
cRzg -0Go
cUxz --E0
